sig_id,cp_type,cp_time,cp_dose,g-0,g-1,g-2,g-3,g-4,c-0
id_000644bb2,trt_cp,24,D1,1.062,0.5577,-0.2479,-0.6208,-0.1944,-0.06
id_000779bfc,trt_cp,72,D1,0.0743,0.4087,0.2991,0.0604,1.019,0.0927
id_000a6266a,trt_cp,48,D1,0.628,0.5817,1.554,-0.0764,-0.0323,-0.1312
id_0015fd391,trt_cp,48,D1,-0.5138,-0.2491,-0.2656,0.5288,4.062,-0.3998
id_001626bd3,trt_cp,72,D2,-0.3254,-0.4009,0.97,0.6919,1.418,-0.3774
id_001762a82,trt_cp,24,D1,-0.6111,0.2941,-0.9901,0.2277,1.281,0.0877
id_001bd861f,trt_cp,24,D2,2.044,1.7,-1.539,5.944,-2.167,0.3467
id_0020d0484,trt_cp,48,D1,0.2711,0.5133,-0.1327,2.595,0.698,1.636
id_00224bf20,trt_cp,48,D1,-0.3014,0.5545,-0.2576,-0.139,-0.6487,-0.9646
id_0023f063e,trt_cp,48,D2,-0.063,0.2564,-0.5279,-0.2541,-0.0182,-0.9629
id_002452c7e,trt_cp,72,D2,-0.2875,0.0322,-0.8863,-0.0016,-0.7471,0.2745
id_0024bcd70,trt_cp,48,D2,-0.3864,-0.5551,-0.8978,-0.2616,-0.2801,0.3468
id_0025c5949,trt_cp,48,D1,0.003,0.7189,1.889,-0.8711,1.313,0.5958
id_00289dc6e,trt_cp,48,D2,-0.6884,-0.4203,-1.264,-0.1932,1.717,0.5582
id_002d31e2c,trt_cp,72,D1,0.4242,1.704,-1.323,-0.3163,-0.4642,-3.892
id_002e08ff8,trt_cp,48,D1,0.0667,-0.6472,-0.244,-0.522,0.8223,0.4993
id_002fb9c19,trt_cp,48,D1,8.738,0.1914,2.438,-0.293,3.201,-10
id_0031dd989,trt_cp,24,D2,-0.4764,-0.5513,1.856,-0.2618,-0.331,0.7731
id_003603254,trt_cp,72,D2,-0.4694,-1.518,-2.043,0.575,0.5077,-0.3138
id_0036b0342,trt_cp,48,D1,-0.1428,-0.1957,-0.6397,0.0726,-0.8058,0.799
id_0039a2ff9,trt_cp,48,D2,-0.2924,0.0985,-0.5631,-0.3963,0.1672,0.2601
id_003b43239,trt_cp,48,D1,-0.1119,0.9003,0.3911,0.1339,0.7373,-0.5232
id_003d4b6f0,trt_cp,72,D1,0.6111,-0.2907,-0.7853,0.1947,-0.9804,0.2064
id_003fdd734,trt_cp,72,D1,-0.0185,0.3547,-0.3312,0.4509,-0.7054,0.5826
id_00505b3c8,trt_cp,72,D2,0.4442,0.1313,-0.4171,1.286,-0.5766,-0.3508
id_0054388ec,ctl_vehicle,48,D1,-0.6696,-0.2718,-1.223,-0.6226,-0.722,0.4665
id_00548fd5c,trt_cp,72,D1,-0.274,-0.9351,-0.7293,-0.1066,-0.2957,1.045
id_00578737a,trt_cp,48,D2,-0.2156,0.8494,-1.113,0.5084,-0.2969,0.923
id_005c3cb48,trt_cp,48,D1,0.1088,-0.0945,-0.0345,-0.0853,-0.6953,0.1582
id_005c3ee1a,trt_cp,72,D1,0.5497,-0.9184,0.9593,-0.4681,1.061,-0.1116
id_0062bfc63,trt_cp,72,D1,-0.0722,0.5334,-0.3034,0.2864,0.1788,-0.2761
id_0063cd461,trt_cp,48,D2,-0.2149,-0.3405,-1.121,-0.8598,-0.2194,-0.3092
id_006e27d96,trt_cp,24,D2,0.0549,0.2602,1.668,0.0603,-0.3156,0.3162
id_006f253ab,trt_cp,48,D2,-0.4857,0.5012,0.146,-0.1922,0.1351,0.2295
id_006f6dbd6,trt_cp,48,D2,0.4609,0.5753,0.5495,2.461,1.605,0.4289
id_0070c63e7,trt_cp,48,D2,-0.2412,0.432,-0.0671,0.0582,-0.3541,1.09
id_00762e877,trt_cp,24,D1,-0.4026,0.1662,-0.6307,-0.4438,-0.5992,0.1518
id_0077e36b9,trt_cp,48,D1,-0.6643,-0.2815,0.4145,-0.1687,-0.2872,0.3829
id_0079af0fb,ctl_vehicle,24,D1,-0.1636,-1.823,-0.5211,0.3054,-1.128,0.1431
id_0079d45d3,trt_cp,24,D1,1.631,-2.143,-0.0943,-1.199,0.4869,-1.282
id_007bfbb91,ctl_vehicle,24,D2,-1.32,-1.734,-0.0741,1.544,-1.829,0.8107
id_0080f169f,trt_cp,48,D2,0.3597,0.1674,-0.0766,0.2779,0.1796,-0.2962
id_00816e002,trt_cp,48,D2,-0.2043,0.1946,-1.605,0.307,-0.0713,-0.9057
id_00849b0f8,trt_cp,48,D2,-0.6823,-0.2151,0.4651,0.746,-0.1309,0.2179
id_00872d938,trt_cp,48,D2,0.3161,0.0464,0.1056,-2.122,-0.5453,-1.377
id_0089590d4,trt_cp,72,D1,-0.1615,-0.286,-0.6151,-0.0371,-0.3724,1.02
id_008a18cef,trt_cp,72,D2,0.6492,0.5022,1.07,-0.331,0.3905,0.3725
id_008a986b7,ctl_vehicle,48,D2,0.486,0.143,0.5281,-0.0022,-0.2334,-0.6666
id_008b48693,trt_cp,24,D1,2.52,-2.02,1.171,2.042,-1.807,0.6116
id_008c40337,trt_cp,48,D2,-0.1473,-0.2327,-0.4069,-0.0833,-0.2684,-0.4012
id_008dfb160,trt_cp,72,D1,-0.2314,-0.7888,-0.2197,0.0924,-0.759,-0.3095
id_008f35497,trt_cp,24,D2,-0.0901,0.1814,0.5846,-0.2952,-0.3041,0.7453
id_008f5b224,trt_cp,48,D1,0.2358,0.3526,0.7874,0.6418,-0.1043,0.2365
